file	C	S	D	F	M	n	species	group
Diplonema_papillatum_ORIGINAL_denovo.fasta_EUK.txt	142	126	16	34	79	255	Diplonema_papillatum	Euglenozoa_Other
Diplonema_papillatum_ORIGINAL_REF_comp.fasta_EUK.txt	178	154	24	19	58	255	Diplonema_papillatum	Euglenozoa_Other
Emiliania_huxleyi_ORIGINAL_denovo.fasta_EUK.txt	76	73	3	47	132	255	Emiliania_huxleyi	Other
Emiliania_huxleyi_ORIGINAL_REF.fasta_EUK.txt	147	106	41	40	68	255	Emiliania_huxleyi	Other
Endotrypanum_monterogeii_ORIGINAL_REF_comp.fasta_EUK.txt	143	139	4	18	94	255	Endotrypanum_monterogeii	Trypanosomatids
Euglena_gracilis_ORIGINAL_NON_comp.fasta_EUK.txt	185	177	8	34	36	255	Euglena_gracilis	Euglenozoa_Other
G65133_ORIGINAL_NON_comp.fasta_EUK.txt	125	114	11	35	95	255	G65133	Bodonids
Gemkin_ORIGINAL_NON_comp.fasta_EUK.txt	132	122	10	12	111	255	Gemkin	Bodonids
INUKIN_ORIGINAL_NON_comp.fasta_EUK.txt	133	120	13	27	95	255	INUKIN	Bodonids
KUCKIN_ORIGINAL_NON_comp.fasta_EUK.txt	102	85	17	46	107	255	KUCKIN	Bodonids
Leishmania_infantum_ORIGINAL_denovo.fasta_EUK.txt	57	55	2	10	188	255	Leishmania_infantum	Trypanosomatids
Leishmania_infantum_ORIGINAL_REF_comp.fasta_EUK.txt	137	133	4	22	96	255	Leishmania_infantum	Trypanosomatids
Leishmania_major_ORIGINAL_denovo.fasta_EUK.txt	117	111	6	19	119	255	Leishmania_major	Trypanosomatids
Leishmania_major_ORIGINAL_REF_comp.fasta_EUK.txt	138	131	7	24	93	255	Leishmania_major	Trypanosomatids
Leishmania_orientalis_ORIGINAL_NON_comp.fasta_EUK.txt	140	136	4	21	94	255	Leishmania_orientalis	Trypanosomatids
Leptomonas_pyrrhocoris_ORIGINAL_denovo.fasta_EUK.txt	118	115	3	35	102	255	Leptomonas_pyrrhocoris	Trypanosomatids
Leptomonas_pyrrhocoris_ORIGINAL_REF_comp.fasta_EUK.txt	146	140	6	20	89	255	Leptomonas_pyrrhocoris	Trypanosomatids
Leptomonas_seymouri_ORIGINAL_denovo.fasta_EUK.txt	134	90	44	18	103	255	Leptomonas_seymouri	Trypanosomatids
Leptomonas_seymouri_ORIGINAL_REF_comp.fasta_EUK.txt	145	141	4	19	91	255	Leptomonas_seymouri	Trypanosomatids
Monocercomonoides_exilis_ORIGINAL_denovo.fasta_EUK.txt	121	109	12	35	99	255	Monocercomonoides_exilis	Other
Monocercomonoides_exilis_ORIGINAL_REF.fasta_EUK.txt	155	132	23	10	90	255	Monocercomonoides_exilis	Other
Naegleria_fowleri_ORIGINAL_denovo.fasta_EUK.txt	181	166	15	8	66	255	Naegleria_fowleri	Other
Naegleria_fowleri_ORIGINAL_REF_comp.fasta_EUK.txt	219	217	2	7	29	255	Naegleria_fowleri	Other
Neobodo_designis_ORIGINAL_NON_comp.fasta_EUK.txt	124	121	3	23	108	255	Neobodo_designis	Bodonids
Novymonas_esmeraldas_ORIGINAL_REF_comp.fasta_EUK.txt	132	129	3	19	104	255	Novymonas_esmeraldas	Trypanosomatids
OB23_ORIGINAL_NON_comp.fasta_EUK.txt	165	139	26	13	77	255	OB23	Bodonids
Ophirina_chinija_ORIGINAL_NON_comp.fasta_EUK.txt	209	205	4	17	29	255	Ophirina_chinija	Other
Papus_ankaliazontas_ORIGINAL_NON_comp.fasta_EUK.txt	164	103	61	18	73	255	Papus_ankaliazontas	Prokinetoplastids
Paratrypanosoma_confusum_ORIGINAL_NON_comp.fasta_EUK.txt	137	132	5	23	95	255	Paratrypanosoma_confusum	Trypanosomatids
Perkinsela_spCCAP_1560_ORIGINAL_NON_comp.fasta_EUK.txt	87	78	9	17	151	255	Perkinsela_spCCAP_1560	Prokinetoplastids
Pharyngomonas_kirbyi_ORIGINAL_NON_comp.fasta_EUK.txt	217	214	3	17	21	255	Pharyngomonas_kirbyi	Other
