	10D	13G	16Ckin	Angomonas_deanei	Azumiobodo_hoyamushi	BABKIN	Blastocrithidia_nonstop	Blechomonas_ayalai	Bodo_saltans	Crithidia_fasciculata	Cruzella_marina	Cryptobia_borreli	D44	Endotrypanum_monterogeii	G65133	Gemkin	INUKIN	KUCKIN	Leishmania_infantum	Leishmania_major_strain_Friedlin	Leishmania_orientalis	Leptomonas_pyrrhocoris	Leptomonas_seymouri_BHU1095	Neobodo_designis	Novymonas_esmeraldas	OB23	Paratrypanosoma_confusum	Phytomonas_sp._EM1	Phytomonas_sp._Hart1	Porcisia_hertigi	RhMon	Strigomonas_culicis	Trypanosoma_brucei_gambiense_DAL972	Trypanosoma_congolense_IL3000	Trypanosoma_cruzi_CLBrenerEsmeraldo-like	Trypanosoma_grayi_ANR4
51-100	22	8	14	2	2	14	0	1	6	0	12	2	4	0	16	1	6	7	0	0	0	0	0	2	1	8	0	0	0	0	11	0	0	4	5	2
101-150	5	0	1	0	0	3	0	0	1	0	2	0	1	1	3	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0
151-200	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	66.9	67.5	73.9	85.7	90.0	72.2	86.9	85.2	80.6	84.0	79.6	91.9	73.8	85.3	66.3	80.1	74.5	75.9	84.2	84.5	84.3	83.4	83.7	76.4	84.8	72.0	85.1	87.9	88.2	84.9	76.3	89.2	86.0	86.6	86.2	83.7
'1	20.7	19.9	19.3	11.8	7.1	20.4	11.9	13.5	15.1	14.4	10.0	6.3	20.0	13.3	17.4	17.4	20.6	12.8	14.5	14.3	14.4	15.0	14.8	18.1	13.8	20.6	13.3	11.2	10.8	14.0	11.0	9.2	12.9	11.5	12.3	14.2
'2	6.2	7.2	3.6	1.6	1.8	3.9	0.9	1.0	2.6	1.0	6.1	1.2	3.5	1.0	8.3	1.6	2.8	6.4	0.9	0.8	0.9	1.1	1.0	3.2	0.9	4.0	1.2	0.7	0.8	0.8	7.8	1.1	0.8	1.4	1.1	1.4
'3	2.4	2.5	1.2	0.5	0.5	1.4	0.2	0.2	0.7	0.3	1.8	0.3	1.3	0.2	3.2	0.4	0.9	2.3	0.2	0.2	0.2	0.3	0.3	1.0	0.2	1.4	0.2	0.2	0.1	0.2	2.5	0.3	0.2	0.2	0.2	0.3
'4	1.1	1.1	0.6	0.2	0.2	0.6	0.1	0.1	0.3	0.1	0.8	0.1	0.5	0.1	1.6	0.2	0.4	1.0	0.1	0.1	0.1	0.1	0.1	0.5	0.1	0.7	0.1	0.0	0.0	0.1	1.0	0.1	0.1	0.1	0.1	0.1
'5	0.6	0.5	0.3	0.1	0.1	0.4	0.0	0.0	0.2	0.0	0.5	0.1	0.3	0.0	0.9	0.1	0.2	0.5	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.3	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.1	0.0	0.1
'6	0.4	0.3	0.2	0.0	0.1	0.2	0.0	0.0	0.1	0.0	0.3	0.0	0.2	0.0	0.5	0.0	0.1	0.4	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0
'7	0.3	0.2	0.2	0.0	0.1	0.2	0.0	0.0	0.1	0.0	0.2	0.0	0.1	0.0	0.4	0.0	0.1	0.2	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0
'8	0.2	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.3	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
'9	0.2	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
'10	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.4	0.2	0.2	0.0	0.0	0.2	0.0	0.0	0.1	0.0	0.2	0.0	0.1	0.0	0.3	0.0	0.1	0.2	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0
16-20	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
21-50	0.2	0.1	0.1	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.2	0.0	0.1	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	9143	8811	8526	5225	3131	9014	5239	5942	6676	6353	4432	2769	8816	5891	7685	7694	9098	5641	6392	6320	6373	6613	6546	8009	6087	9113	5855	4932	4777	6170	4839	4085	5697	5086	5419	6288
'2	5504	6390	3180	1422	1548	3422	764	880	2300	916	5358	1024	3130	862	7374	1442	2430	5638	802	726	756	938	874	2844	810	3564	1036	590	696	744	6924	942	720	1198	962	1276
'3	3216	3324	1608	609	615	1854	219	282	942	387	2364	450	1677	303	4305	561	1155	3060	315	294	297	390	333	1359	309	1794	285	204	186	255	3300	393	234	303	294	456
'4	1996	1884	1100	300	360	1136	172	152	544	212	1404	220	908	160	2828	288	732	1780	164	168	144	240	188	800	152	1196	180	64	56	108	1728	200	124	140	124	228
'5	1295	1135	675	165	255	885	65	50	365	110	1015	120	575	75	1950	240	530	1200	70	55	75	100	85	455	100	695	95	30	40	70	1070	65	60	115	90	135
'6	1140	858	432	78	150	582	60	72	342	96	702	96	420	66	1398	126	354	930	66	66	42	78	66	318	48	540	60	30	60	42	594	36	42	66	78	96
'7	980	553	581	91	217	539	21	14	224	56	637	70	343	35	1218	70	189	539	35	7	21	42	28	280	56	476	35	7	14	28	532	28	28	63	21	28
'8	784	472	400	56	144	304	16	24	232	80	416	104	224	24	984	104	232	392	16	32	8	64	48	176	32	448	32	16	8	8	344	8	16	48	48	40
'9	747	414	333	72	135	414	27	9	180	18	387	27	135	27	630	90	333	351	18	0	9	45	27	99	45	252	18	0	18	0	333	36	36	72	0	27
'10	510	270	310	20	140	280	20	50	130	90	360	30	60	20	550	10	150	330	20	30	30	60	0	200	50	200	10	10	0	0	200	30	0	40	40	0
11-15	2088	1194	906	175	237	1159	59	62	290	158	1151	213	729	113	1795	153	688	941	75	60	36	141	86	551	100	868	98	12	0	46	1003	71	81	65	166	115
16-20	1127	543	610	126	279	699	51	34	217	55	884	159	443	32	1035	107	381	594	0	0	0	18	16	369	109	745	72	20	54	0	465	89	37	87	105	118
21-50	2759	1410	1807	198	753	1837	53	27	982	91	2005	229	957	88	2765	206	965	1046	52	54	0	72	0	680	136	1488	0	0	36	0	1380	66	33	674	254	456
