short_summary.specific.eukaryota_odb10.Neobodo_designis_ORIGINAL_NON_comp.fasta_EUK.txt	124 121 3 23 108 255
short_summary.specific.eukaryota_odb10.Novymonas_esmeraldas_ORIGINAL_REF_comp.fasta_EUK.txt	132 129 3 19 104 255
short_summary.specific.eukaryota_odb10.OB23_ORIGINAL_NON_comp.fasta_EUK.txt	165 139 26 13 77 255
short_summary.specific.eukaryota_odb10.Ophirina_chinija_ORIGINAL_NON_comp.fasta_EUK.txt	209 205 4 17 29 255
short_summary.specific.eukaryota_odb10.Papus_ankaliazontas_ORIGINAL_NON_comp.fasta_EUK.txt	164 103 61 18 73 255
short_summary.specific.eukaryota_odb10.Paratrypanosoma_confusum_ORIGINAL_NON_comp.fasta_EUK.txt	137 132 5 23 95 255
short_summary.specific.eukaryota_odb10.Perkinsela_spCCAP_1560_ORIGINAL_NON_comp.fasta_EUK.txt	87 78 9 17 151 255
short_summary.specific.eukaryota_odb10.Pharyngomonas_kirbyi_ORIGINAL_NON_comp.fasta_EUK.txt	217 214 3 17 21 255
short_summary.specific.eukaryota_odb10.Phytomonas_sp._EM1_ORIGINAL_NON_comp.fasta_EUK.txt	123 121 2 24 108 255
short_summary.specific.eukaryota_odb10.Phytomonas_sp._Hart1_ORIGINAL_NON_comp.fasta_EUK.txt	126 125 1 20 109 255
short_summary.specific.eukaryota_odb10.Porcisia_hertigi_ORIGINAL_REF_comp.fasta_EUK.txt	144 138 6 21 90 255
short_summary.specific.eukaryota_odb10.Rhabdomonas_costata_ORIGINAL_NON_comp.fasta_EUK.txt	162 154 8 35 58 255
short_summary.specific.eukaryota_odb10.RhMon_ORIGINAL_NON_comp.fasta_EUK.txt	125 68 57 31 99 255
short_summary.specific.eukaryota_odb10.Rhynchopus_humris_ORIGINAL_NON_comp.fasta_EUK.txt	176 127 49 19 60 255
short_summary.specific.eukaryota_odb10.Saccharomyces_cerevisiae_ORIGINAL_denovo.fasta_EUK.txt	111 99 12 7 137 255
short_summary.specific.eukaryota_odb10.Saccharomyces_cerevisiae_ORIGINAL_REF.fasta_EUK.txt	239 237 2 2 14 255
short_summary.specific.eukaryota_odb10.Strigomonas_culicis_ORIGINAL_NON_comp.fasta_EUK.txt	118 52 66 23 114 255
short_summary.specific.eukaryota_odb10.Sulcionema_specki_ORIGINAL_NON_comp.fasta_EUK.txt	160 157 3 39 56 255
short_summary.specific.eukaryota_odb10.Trichomonas_vaginalis_ORIGINAL_denovo.fasta_EUK.txt	128 104 24 21 106 255
short_summary.specific.eukaryota_odb10.Trichomonas_vaginalis_ORIGINAL_REF.fasta_EUK.txt	136 104 32 14 105 255
short_summary.specific.eukaryota_odb10.Trypanosoma_brucei_gambiense_DAL972_ORIGINAL_NON_comp.fasta_EUK.txt	145 140 5 15 95 255
short_summary.specific.eukaryota_odb10.Trypanosoma_congolense_IL3000_ORIGINAL_denovo.fasta_EUK.txt	132 124 8 22 101 255
short_summary.specific.eukaryota_odb10.Trypanosoma_congolense_IL3000_ORIGINAL_REF_comp.fasta_EUK.txt	122 103 19 28 105 255
short_summary.specific.eukaryota_odb10.Trypanosoma_cruzi_CLBrenerEsmeraldo-like_ORIGINAL_NON_comp.fasta_EUK.txt	102 97 5 27 126 255
short_summary.specific.eukaryota_odb10.Trypanosoma_cruzi_ORIGINAL_denovo.fasta_EUK.txt	122 116 6 26 107 255
short_summary.specific.eukaryota_odb10.Trypanosoma_cruzi_ORIGINAL_REF.fasta_EUK.txt	125 120 5 23 107 255
short_summary.specific.eukaryota_odb10.Trypanosoma_grayi_ANR4_ORIGINAL_NON_comp.fasta_EUK.txt	132 127 5 20 103 255
short_summary.specific.eukaryota_odb10.Willaertia_magna_ORIGINAL_NON_comp.fasta_EUK.txt	221 216 5 11 23 255
short_summary.specific.eukaryota_odb10.Willaertia_magna_ORIGINAL_REF.fasta_EUK.txt	222 193 29 7 26 255
