Orthogroup	10D	13G	16Ckin	Angomonas_deanei	Azumiobodo_hoyamushi	BABKIN	Blastocrithidia_nonstop	Blechomonas_ayalai	Bodo_saltans	Crithidia_fasciculata	Cruzella_marina	Cryptobia_borreli	D44	Endotrypanum_monterogeii	G65133	Gemkin	INUKIN	KUCKIN	Leishmania_infantum	Leishmania_major_strain_Friedlin	Leishmania_orientalis	Leptomonas_pyrrhocoris	Leptomonas_seymouri_BHU1095	Neobodo_designis	Novymonas_esmeraldas	OB23	Paratrypanosoma_confusum	Phytomonas_sp._EM1	Phytomonas_sp._Hart1	Porcisia_hertigi	RhMon	Strigomonas_culicis	Trypanosoma_brucei_gambiense_DAL972	Trypanosoma_congolense_IL3000	Trypanosoma_cruzi_CLBrenerEsmeraldo-like	Trypanosoma_grayi_ANR4	Total
OG0000034	27	21	7	6	5	11	5	6	6	6	2	2	10	6	10	7	10	10	6	6	5	6	6	10	6	7	6	6	6	5	11	6	5	5	6	6	271
OG0000035	5	5	3	0	5	43	0	0	1	0	2	0	35	0	49	4	44	9	0	0	0	0	0	33	0	5	0	0	0	0	27	0	0	0	0	0	270
OG0000036	5	6	2	4	0	3	5	4	2	40	4	1	2	16	5	0	4	6	13	10	11	24	13	2	30	3	4	4	18	7	2	5	3	4	1	4	267
OG0000037	23	16	14	4	4	11	4	3	12	4	5	2	14	2	10	9	9	15	2	2	2	4	4	10	3	18	5	2	2	2	20	2	4	4	5	4	256
OG0000038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	255
OG0000039	38	15	8	7	4	8	4	3	6	4	29	4	6	3	13	6	5	13	4	4	4	4	1	10	3	4	2	3	4	4	17	2	4	3	2	3	254
OG0000040	1	1	1	0	0	1	0	0	0	0	4	0	0	0	239	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	249
OG0000041	43	42	19	0	1	16	0	0	3	0	1	0	17	0	30	4	20	15	0	0	0	0	0	10	0	10	0	0	0	0	16	0	0	0	0	0	247
OG0000042	12	9	9	6	6	9	4	6	7	6	3	6	8	6	9	6	8	13	6	6	6	6	6	7	4	10	7	5	7	6	11	2	5	7	5	7	246
OG0000043	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246
OG0000044	27	13	27	1	8	9	1	1	10	3	8	0	12	2	10	6	13	21	3	2	1	3	1	13	2	12	3	1	1	1	9	1	1	10	3	2	241
OG0000045	25	23	12	5	10	9	2	2	3	4	7	8	13	2	10	6	9	14	3	2	4	4	3	10	5	13	1	2	2	4	9	4	2	2	2	3	239
OG0000046	15	20	19	5	8	11	4	4	6	3	11	1	7	3	29	4	10	6	3	3	3	4	2	9	3	5	6	3	3	3	2	3	5	5	5	6	239
OG0000047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	238	0	0	0	0	0	0	0	0	0	0	239
OG0000048	15	7	11	6	5	5	6	6	6	6	3	2	6	6	9	7	5	9	5	6	6	8	5	6	6	8	8	5	5	6	5	4	6	6	6	8	229
OG0000049	2	1	7	0	6	5	0	0	3	0	2	6	23	0	119	1	7	7	0	0	0	0	0	22	0	9	0	0	0	0	8	0	0	0	0	0	228
OG0000050	0	1	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227
OG0000051	7	29	0	0	0	18	0	0	0	0	22	0	13	0	24	26	19	14	0	0	0	0	0	6	0	48	0	0	0	0	0	0	0	0	0	0	226
OG0000052	16	9	14	7	3	6	3	4	5	4	5	2	6	4	5	8	12	14	4	4	4	4	4	9	4	8	10	4	2	2	8	2	7	6	5	8	222
OG0000053	33	33	7	2	6	16	2	3	5	4	14	1	4	2	10	3	16	7	1	1	1	2	3	4	3	8	4	1	1	1	5	1	1	1	2	3	211
OG0000054	9	11	8	7	1	6	4	6	8	8	3	3	7	6	7	5	4	9	7	6	6	8	7	9	7	7	7	4	1	6	6	3	3	2	5	5	211
OG0000055	6	6	6	7	1	6	6	6	6	6	6	6	7	6	5	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	7	5	6	7	3	6	209
OG0000056	30	45	60	0	0	0	0	0	7	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	46	0	0	0	0	2	0	0	0	0	0	208
OG0000057	14	11	8	5	2	12	1	2	9	4	8	1	12	2	20	4	13	14	3	2	3	4	3	7	4	6	3	0	0	2	21	3	1	1	1	2	208
OG0000058	6	4	7	26	8	3	25	18	4	0	17	0	0	8	4	13	1	12	1	0	0	25	0	3	11	3	1	0	0	0	3	5	0	0	0	0	208
OG0000059	2	3	5	2	1	24	4	3	10	3	0	0	18	2	36	3	13	1	2	2	2	3	2	8	3	23	2	0	1	1	11	0	4	3	4	4	205
OG0000060	9	8	12	0	4	13	0	0	9	2	8	4	14	0	31	9	9	11	1	1	1	2	0	12	1	15	3	0	0	0	18	0	0	0	1	4	202
OG0000061	17	23	12	0	2	31	0	0	7	0	15	0	13	0	14	4	17	14	0	0	0	0	0	10	0	13	0	0	0	0	7	0	0	0	0	0	199
OG0000062	16	11	12	5	3	4	3	5	4	9	6	1	11	4	6	5	5	9	6	6	4	9	5	4	8	9	4	2	3	5	2	1	3	2	3	4	199
OG0000063	19	10	8	3	3	7	2	4	5	3	6	1	6	4	7	8	7	10	4	4	4	4	4	9	4	7	4	3	2	4	9	4	4	5	5	5	198
OG0000064	1	4	0	0	7	6	0	0	0	0	7	0	6	0	53	20	4	2	0	0	0	0	0	15	0	26	0	0	0	0	45	0	0	0	0	0	196
OG0000065	23	6	4	0	0	0	0	0	1	0	0	0	44	0	2	7	87	14	0	0	0	0	0	2	0	4	0	0	0	0	1	0	0	0	0	0	195
OG0000066	10	8	15	0	6	17	0	0	0	0	17	0	21	0	22	1	15	18	0	0	0	0	0	14	0	29	0	0	0	0	1	0	0	0	0	0	194
